,Name,Address,Lat,Lon,Type,Business_Status,Icon,Times,Price_Level,Rating,ID,Photo Reference
386,ArtSavesLives Studio and Gallery,"518 Castro Street, San Francisco",37.7605194,-122.4352061,establishment,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,5,ChIJiyk_LBt-j4ARN-15u_UKYEI,ARywPAIqlHexnN0EfVwEI-1h5mq6gDTP8w41imfYFNTBtlaXpHTJ4fedY0Qv1JScm51ZhdUK0U_Lbckhq3X27WIGIKrVdy5HErRT7j9VmPJlitEXbwsNJR1Rqh3EpKKzkJKR7TFpvBEFb7TOqSj08R2E-zyoFVf67-W-oSl3wgdUtFO3g_o1
387,CHUNG 24 GALLERY,"4071 24th Street, San Francisco",37.7512441,-122.43339,art_gallery,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,5,ChIJE77QVj9_j4ARAImxO-T5UPg,ARywPAKHoqvymc_WwvdemZ_NxZGCPFhQl-GMr95mMLR-sdHONC7iGL8ivNwPimXu0OhF2PFJ4YODqjWeZwj6Za5qNTx0ZMPNwMot_scdC_gp2lQbiVMsR_BgnRORG3y64H3LILT9udv99jTA6dTTvQ4m4e4QykQ4rxNrvJo38iqdhXdA7Qhe
388,CHUNG 24 GALLERY,"4071 24th Street, San Francisco",37.7512441,-122.43339,point_of_interest,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,5,ChIJE77QVj9_j4ARAImxO-T5UPg,ARywPAKHoqvymc_WwvdemZ_NxZGCPFhQl-GMr95mMLR-sdHONC7iGL8ivNwPimXu0OhF2PFJ4YODqjWeZwj6Za5qNTx0ZMPNwMot_scdC_gp2lQbiVMsR_BgnRORG3y64H3LILT9udv99jTA6dTTvQ4m4e4QykQ4rxNrvJo38iqdhXdA7Qhe
389,CHUNG 24 GALLERY,"4071 24th Street, San Francisco",37.7512441,-122.43339,establishment,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,5,ChIJE77QVj9_j4ARAImxO-T5UPg,ARywPAKHoqvymc_WwvdemZ_NxZGCPFhQl-GMr95mMLR-sdHONC7iGL8ivNwPimXu0OhF2PFJ4YODqjWeZwj6Za5qNTx0ZMPNwMot_scdC_gp2lQbiVMsR_BgnRORG3y64H3LILT9udv99jTA6dTTvQ4m4e4QykQ4rxNrvJo38iqdhXdA7Qhe
390,MesArt Gallery,"135 Red Rock Way L-109, San Francisco",37.746157,-122.4420358,art_gallery,CLOSED_TEMPORARILY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,,ChIJl3ipJdOkj4ARzwf8DWsYksI,
391,MesArt Gallery,"135 Red Rock Way L-109, San Francisco",37.746157,-122.4420358,point_of_interest,CLOSED_TEMPORARILY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,,ChIJl3ipJdOkj4ARzwf8DWsYksI,
392,MesArt Gallery,"135 Red Rock Way L-109, San Francisco",37.746157,-122.4420358,establishment,CLOSED_TEMPORARILY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,,ChIJl3ipJdOkj4ARzwf8DWsYksI,
393,G.B. Sunny Fisher - Mixed Media Artist,"5160 Diamond Heights Boulevard, San Francisco",37.7459201,-122.4405175,art_gallery,CLOSED_TEMPORARILY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,5,ChIJrWw9TDd-j4ARATSINDtva2k,
394,G.B. Sunny Fisher - Mixed Media Artist,"5160 Diamond Heights Boulevard, San Francisco",37.7459201,-122.4405175,painter,CLOSED_TEMPORARILY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,5,ChIJrWw9TDd-j4ARATSINDtva2k,
395,G.B. Sunny Fisher - Mixed Media Artist,"5160 Diamond Heights Boulevard, San Francisco",37.7459201,-122.4405175,point_of_interest,CLOSED_TEMPORARILY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,5,ChIJrWw9TDd-j4ARATSINDtva2k,
396,G.B. Sunny Fisher - Mixed Media Artist,"5160 Diamond Heights Boulevard, San Francisco",37.7459201,-122.4405175,establishment,CLOSED_TEMPORARILY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,5,ChIJrWw9TDd-j4ARATSINDtva2k,
397,Niks Fine Art,"215 Panorama Drive, San Francisco",37.7488326,-122.4522749,art_gallery,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,,ChIJz6U-1v59j4ARzLwOVNpiW-s,
398,Niks Fine Art,"215 Panorama Drive, San Francisco",37.7488326,-122.4522749,point_of_interest,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,,ChIJz6U-1v59j4ARzLwOVNpiW-s,
399,Niks Fine Art,"215 Panorama Drive, San Francisco",37.7488326,-122.4522749,establishment,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,,,,ChIJz6U-1v59j4ARzLwOVNpiW-s,
400,ARTroads Academy,"246 Romain Street, San Francisco",37.756096,-122.442157,art_gallery,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,,,,ChIJtymNGQZ-j4ARUwhibuluXII,ARywPAK4eDVGDGGYAakaVfZX2GRygGMnMV2a3yh5Z74R96_Og-mPJeKROZcGnknIwLGv0vvb671VKi-E7cZfSEjlIwentNMfIrk5OG1yvkO_BOW3S1UBlnD9gAKneLaWZCj_QzUWYdQcwKCKuD1PlNODfJtJV1aEqzhhXHBTZTHy5VskHWUT
401,ARTroads Academy,"246 Romain Street, San Francisco",37.756096,-122.442157,point_of_interest,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,,,,ChIJtymNGQZ-j4ARUwhibuluXII,ARywPAK4eDVGDGGYAakaVfZX2GRygGMnMV2a3yh5Z74R96_Og-mPJeKROZcGnknIwLGv0vvb671VKi-E7cZfSEjlIwentNMfIrk5OG1yvkO_BOW3S1UBlnD9gAKneLaWZCj_QzUWYdQcwKCKuD1PlNODfJtJV1aEqzhhXHBTZTHy5VskHWUT
402,ARTroads Academy,"246 Romain Street, San Francisco",37.756096,-122.442157,establishment,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/school-71.png,,,,ChIJtymNGQZ-j4ARUwhibuluXII,ARywPAK4eDVGDGGYAakaVfZX2GRygGMnMV2a3yh5Z74R96_Og-mPJeKROZcGnknIwLGv0vvb671VKi-E7cZfSEjlIwentNMfIrk5OG1yvkO_BOW3S1UBlnD9gAKneLaWZCj_QzUWYdQcwKCKuD1PlNODfJtJV1aEqzhhXHBTZTHy5VskHWUT
